a00	A00 - Kolera
b05	B05 - Mässling
b050	B05.0 - Mässlingsencefalit
b051	B05.1 - Mässlingsmeningit
b052	B05.2 - Pneumoni som komplikation till mässling
b053	B05.3 - Otit som komplikation till mässling
b054	B05.4 - Mässling med tarmkomplikationer
b058	B05.8 - Mässling med andra specificerade komplikationer
b059	B05.9 - Mässling utan komplikation
b06	B06 - Röda hund
b060	B06.0 - Röda hund med neurologiska komplikationer
b068	B06.8 - Röda hund med andra specificerade komplikationer
b069	B06.9 - Röda hund utan komplikation
b07	B07 - Virusvårtor
b079	B07.9 - Virusvårtor
b079a	B07.9A - Verruca vulgaris
b079b	B07.9B - Verruca filiformis
b079c	B07.9C - Verruca plana
b079d	B07.9D - Verruca plantaris
b079w	B07.9W - Andra virusvårtor
b079x	B07.9X - Virusvårtor, ospecificerade
b08	B08 - Andra virussjukdomar med hud- och slemhinneutslag som ej klassificeras annorstädes
b080	B08.0 - Andra infektioner orsakade av ortopoxvirus
b080a	B08.0A - Ecthyma contagiosum
b080b	B08.0B - Falska kokoppor
b080c	B08.0C - Kokoppor
b080w	B08.0W - Annan och icke specificerad infektion orsakad av ortopoxvirus
b081	B08.1 - Mollusker
b082	B08.2 - Tredagarsfeber
b083	B08.3 - Erythema infectiosum
b084	B08.4 - Hand, foot and mouth disease
b085	B08.5 - Herpangina
b088	B08.8 - Andra specificerade virusinfektioner med hud- och slemhinneutslag
b09	B09 - Icke specificerad virusinfektion med hud- och slemhinneutslag
b099	B09.9 - Icke specificerad virusinfektion med hud- och slemhinneutslag
b15	B15 - Akut hepatit A
b150	B15.0 - Hepatit A med leverkoma
b159	B15.9 - Hepatit A utan leverkoma
b16	B16 - Akut hepatit B
b160	B16.0 - Akut hepatit B med hepatit D med leverkoma
b161	B16.1 - Akut hepatit B med hepatit D utan leverkoma
b162	B16.2 - Akut hepatit B utan hepatit D med leverkoma
b169	B16.9 - Akut hepatit B utan hepatit D, utan leverkoma
b17	B17 - Annan akut virushepatit
b170	B17.0 - Akut hepatit D hos hepatit B-bärare
b171	B17.1 - Akut hepatit C
b172	B17.2 - Akut hepatit E
b178	B17.8 - Annan specificerad akut virushepatit
b179	B17.9 - Akut virushepatit, ospecificerad
b18	B18 - Kronisk virushepatit
b180	B18.0 - Kronisk hepatit B med hepatit D
b180a	B18.0A - Kronisk hepatit B med hepatit D (coinfection), normal lever
b180b	B18.0B - Kronisk hepatit B med hepatit D (coinfection), ospecifik reaktiv hepatit
b180c	B18.0C - Kronisk hepatit B med hepatit D (coinfection), kronisk persisterande hepatit (KPH)
b180d	B18.0D - Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit (KAH)
b180e	B18.0E - Kronisk hepatit B med hepatit D (coinfection), kronisk aktiv hepatit med cirros
b180f	B18.0F - Kronisk hepatit B med hepatit D (coinfection), fibros
b180g	B18.0G - Kronisk hepatit B med hepatit D (coinfection), cirros
b180h	B18.0H - Kronisk hepatit B med hepatit D (coinfection), steatos
b180w	B18.0W - Kronisk hepatit B med hepatit D (coinfection), annat histologiskt fynd
b180x	B18.0X - Kronisk hepatit B med hepatit D (coinfection), ej biopserad
b181	B18.1 - Kronisk hepatit B utan hepatit D
b181a	B18.1A - Kronisk hepatit B utan hepatit D, normal lever
b181b	B18.1B - Kronisk hepatit B utan hepatit D, ospecifik reaktiv hepatit
b181c	B18.1C - Kronisk hepatit B utan hepatit D, kronisk persisterande hepatit (KPH)
b181d	B18.1D - Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit (KAH)
b181e	B18.1E - Kronisk hepatit B utan hepatit D, kronisk aktiv hepatit med cirros
b181f	B18.1F - Kronisk hepatit B utan hepatit D, fibros
b181g	B18.1G - Kronisk hepatit B utan hepatit D, cirros
b181h	B18.1H - Kronisk hepatit B utan hepatit D, steatos
b181w	B18.1W - Kronisk hepatit B utan hepatit D, annat histologiskt fynd
b181x	B18.1X - Kronisk hepatit B utan hepatit D, ej biopserad
b182	B18.2 - Kronisk hepatit C
b182a	B18.2A - Kronisk hepatit C, normal lever
b182b	B18.2B - Kronisk hepatit C, ospecifik reaktiv hepatit
b182c	B18.2C - Kronisk hepatit C, kroniskt persisterande hepatit (KPH)
b182d	B18.2D - Kronisk hepatit C, kroniskt aktiv hepatit (KAH)
b182e	B18.2E - Kronisk hepatit C, kronisk aktiv hepatit med cirros
b182f	B18.2F - Kronisk hepatit C, fibros
b182g	B18.2G - Kronisk hepatit C, cirros
b182h	B18.2H - Kronisk hepatit C, steatos
b182w	B18.2W - Kronisk hepatit C, annat histologiskt fynd
b182x	B18.2X - Kronisk hepatit C, ej biopserad
b188	B18.8 - Annan specificerad kronisk virushepatit
b188a	B18.8A - Annan specificerad kronisk virushepatit, normal lever
b188b	B18.8B - Annan specificerad kronisk virushepatit, ospecifik reaktiv hepatit
b188c	B18.8C - Annan specificerad kronisk virushepatit, kronisk persisterande hepatit (KPH)
b188d	B18.8D - Annan specificerad kronisk virushepatit, kronisk aktiv hepatit (KAH)
b188e	B18.8E - Annan specificerad kronisk virushepatit, kronisk aktiv hepatit med cirros
b188f	B18.8F - Annan specificerad kronisk virushepatit, fibros
b188g	B18.8G - Annan specificerad kronisk virushepatit, cirros
b188h	B18.8H - Annan specificerad kronisk virushepatit, steatos
b188w	B18.8W - Annan specificerad kronisk virushepatit, annat
b188x	B18.8X - Annan specificerad kronisk virushepatit, ej biopserad
b189	B18.9 - Kronisk virushepatit, ospecificerad
b189a	B18.9A - Kronisk virushepatit, ospecificerad, normal lever
b189b	B18.9B - Kronisk virushepatit, ospecificerad, ospecifik reaktiv hepatit
b189c	B18.9C - Kronisk virushepatit, ospecificerad, kronisk persisterande hepatit (KPH)
b189d	B18.9D - Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit (KAH)
b189e	B18.9E - Kronisk virushepatit, ospecificerad, kronisk aktiv hepatit med cirros
b189f	B18.9F - Kronisk virushepatit, ospecificerad, fibros
b189g	B18.9G - Kronisk virushepatit, ospecificerad, cirros
b189h	B18.9H - Kronisk virushepatit, ospecificerad, steatos
b189w	B18.9W - Kronisk virushepatit, ospecificerad, annat histologiskt fynd
b189x	B18.9X - Kronisk virushepatit, ospecificerad, ej biopserad
b19	B19 - Icke specificerad virushepatit
b190	B19.0 - Icke specificerad virushepatit med leverkoma
b199	B19.9 - Icke specificerad virushepatit utan leverkoma
b20	B20 - Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med infektions- och parasitsjukdom
b200	B20.0 - HIV-infektion med mykobakterieinfektion
b201	B20.1 - HIV-infektion med andra bakterieinfektioner
b202	B20.2 - HIV-infektion med cytomegalvirusinfektion
b203	B20.3 - HIV-infektion med andra virusinfektioner
b204	B20.4 - HIV-infektion med candidainfektion
b205	B20.5 - HIV-infektion med andra mykoser
b206	B20.6 - HIV-infektion med Pneumocystis jirovecii (carinii)-pneumoni
b207	B20.7 - HIV-infektion med multipla infektioner
b208	B20.8 - HIV-infektion med andra infektions- och parasitsjukdomar
b209	B20.9 - HIV-infektion med icke specificerad infektions- eller parasitsjukdom
b21	B21 - Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med maligna tumörer
b210	B21.0 - HIV-infektion med Kaposis sarkom
b211	B21.1 - HIV-infektion med Burkitts lymfom
b212	B21.2 - HIV-infektion med andra typer av non-Hodgkin-lymfom
b213	B21.3 - HIV-infektion med andra maligna tumörer i lymfoid, blodbildande och besläktad vävnad
b217	B21.7 - HIV-infektion med multipla maligna tumörer
b218	B21.8 - HIV-infektion med andra specificerade maligna tumörer
b219	B21.9 - HIV-infektion med icke specificerad malign tumör
b22	B22 - Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra specificerade sjukdomar
b220	B22.0 - HIV-infektion med encefalopati
b221	B22.1 - HIV-infektion med lymfoid interstitiell pneumonit
b222	B22.2 - HIV-infektion med extrem avmagring
b227	B22.7 - HIV-infektion med multipla sjukdomar som klassificeras annorstädes
b23	B23 - Sjukdom orsakad av humant immunbristvirus [HIV] tillsammans med andra tillstånd
b230	B23.0 - Akut HIV-infektionssyndrom
b231	B23.1 - HIV-infektion med generaliserad lymfadenopati
b232	B23.2 - HIV-infektion med hematologiska och immunologiska avvikelser som ej klassificeras annorstädes
b238	B23.8 - HIV-infektion med andra specificerade sjukdomstillstånd
b24	B24 - Icke specificerad sjukdom orsakad av humant immunbristvirus [HIV]
b249	B24.9 - Icke specificerad sjukdom orsakad av humant immunbristvirus
b25	B25 - Cytomegalvirussjukdom
b250	B25.0 - Cytomegalviruspneumonit
b251	B25.1 - Cytomegalvirushepatit
b252	B25.2 - Cytomegalviruspankreatit
b258	B25.8 - Andra specificerade cytomegalvirusinfektioner
b259	B25.9 - Cytomegalvirussjukdom, ospecificerad
b26	B26 - Påssjuka
b260	B26.0 - Påssjukeorkit
b261	B26.1 - Påssjukemeningit
b262	B26.2 - Påssjukeencefalit
b263	B26.3 - Påssjukepankreatit
b268	B26.8 - Påssjuka med andra specificerade komplikationer
b269	B26.9 - Påssjuka utan komplikation
b27	B27 - Körtelfeber
b270	B27.0 - Mononukleos orsakad av Epstein-Barr-virus
b271	B27.1 - Mononukleos orsakad av cytomegalvirus
b278	B27.8 - Annan infektiös mononukleos
b279	B27.9 - Infektiös mononukleos, ospecificerad
b30	B30 - Viruskonjunktivit
b300	B30.0 - Keratokonjunktivit orsakad av adenovirus
b301	B30.1 - Konjunktivit orsakad av adenovirus
b302	B30.2 - Faryngokonjunktivit orsakad av virus
b303	B30.3 - Akut epidemisk hemorragisk konjunktivit
b308	B30.8 - Annan viruskonjunktivit
b309	B30.9 - Viruskonjunktivit, ospecificerad
b33	B33 - Andra virussjukdomar som ej klassificeras annorstädes
b330	B33.0 - Epidemisk myalgi
b331	B33.1 - Ross River disease
b332	B33.2 - Viruskardit
b333	B33.3 - Retrovirusinfektion som ej klassificeras annorstädes
b334	B33.4 - Hantavirus med (kardio)pulmonellt syndrom [HPS] [HCPS] (J17.1*)
b338	B33.8 - Andra specificerade virussjukdomar
b34	B34 - Virussjukdom med icke specificerad lokalisation
b340	B34.0 - Adenovirusinfektion, ospecificerad lokalisation
b341	B34.1 - Enterovirusinfektion, ospecificerad lokalisation
b341a	B34.1A - Enterovirus-infektion, Coxsackie, UNS
b341b	B34.1B - Enterovirus-infektion, Echo, UNS
b341w	B34.1W - Annan specificerad enterovirusinfektion, ospecificerad lokalisation
b342	B34.2 - Coronavirusinfektion, ospecificerad lokalisation
b343	B34.3 - Parvovirusinfektion, ospecificerad lokalisation
b344	B34.4 - Papovavirusinfektion, ospecificerad lokalisation
b348	B34.8 - Infektion med andra virus, ospecificerad lokalisation
b349	B34.9 - Virusinfektion, ospecificerad
b35	B35 - Dermatofytos (hudsvampsjukdom)
b350	B35.0 - Dermatofytos i hårbotten och skäggbotten
b350a	B35.0A - Kerion Celsi
b350b	B35.0B - Ringorm i hårbotten
b350c	B35.0C - Skäggsvamp
b350d	B35.0D - Sycosis mycotica
b350e	B35.0E - Tinea faciei
b350x	B35.0X - Dermatofytos i hårbotten och skäggbotten, ospecificerad
b351	B35.1 - Nagelsvamp
b351a	B35.1A - Tinea unguium
b351b	B35.1B - Leukonychia trichophytica
b351x	B35.1X - Nagelsvamp, ospecificerad
b352	B35.2 - Dermatofytos på hand
b353	B35.3 - Dermatofytos på fot
b354	B35.4 - Dermatofytos på bålen
b355	B35.5 - Tinea imbricata
b356	B35.6 - Dermatofytos på benet
b358	B35.8 - Andra dermatofytoser
b358a	B35.8A - Disseminerad dermatofytos
b358b	B35.8B - Granulomatös dermatofytos
b358w	B35.8W - Andra specificerade dermatofytoser
b359	B35.9 - Dermatofytos, ospecificerad
b36	B36 - Andra ytliga mykoser
b360	B36.0 - Pityriasis versicolor
b361	B36.1 - Tinea nigra
b362	B36.2 - Vit piedra
b363	B36.3 - Svart piedra
b368	B36.8 - Andra specificerade ytliga mykoser
b369	B36.9 - Ytlig mykos, ospecificerad
b37	B37 - Candidainfektion
b370	B37.0 - Candidainfektion i munnen
b371	B37.1 - Candidainfektion i lunga
b372	B37.2 - Candidainfektion i hud och naglar
b372a	B37.2A - Candidaonyki
b372b	B37.2B - Candidaparonyki
b372c	B37.2C - Candidaintertrigo
b372d	B37.2D - Interdigital candidainfektion
b372x	B37.2X - Candidainfektion i hud och naglar, ospecificerad
b373	B37.3 - Candidainfektion i vulva och vagina
b374	B37.4 - Candidainfektion i andra urogenitalorgan
b375	B37.5 - Candidameningit
b376	B37.6 - Candidaendokardit
b377	B37.7 - Candidaseptikemi
b378	B37.8 - Candidainfektion med andra lokalisationer
b378a	B37.8A - Candidakeilit
b378b	B37.8B - Candidaenterit
b378c	B37.8C - Disseminerad candidainfektion
b378w	B37.8W - Candidainfektion med andra lokalisationer
b379	B37.9 - Candidainfektion, ospecificerad
b38	B38 - Koccidioidomykos
b380	B38.0 - Akut pulmonell koccidioidomykos
b381	B38.1 - Kronisk pulmonell koccidioidomykos
b382	B38.2 - Pulmonell koccidioidomykos, ospecificerad
b383	B38.3 - Kutan koccidioidomykos
b384	B38.4 - Koccidioidomykosmeningit
b387	B38.7 - Disseminerad koccidioidomykos
b388	B38.8 - Andra specificerade former av koccidioidomykos
b389	B38.9 - Koccidioidomykos, ospecificerad
b39	B39 - Histoplasmos
b390	B39.0 - Akut pulmonell histoplasmos orsakad av Histoplasma capsulatum
b391	B39.1 - Kronisk pulmonell histoplasmos orsakad av Histoplasma capsulatum
b392	B39.2 - Icke specificerad pulmonell histoplasmos orsakad av Histoplasma capsulatum
b393	B39.3 - Disseminerad histoplasmos orsakad av Histoplasma capsulatum
b394	B39.4 - Histoplasmos orsakad av Histoplasma capsulatum, ospecificerad
b395	B39.5 - Histoplasmos orsakad av Histoplasma duboisii
b399	B39.9 - Histoplasmos, ospecificerad
b40	B40 - Blastomykos
b400	B40.0 - Akut pulmonell blastomykos
b401	B40.1 - Kronisk pulmonell blastomykos
b402	B40.2 - Pulmonell blastomykos, ospecificerad
b403	B40.3 - Kutan blastomykos
b407	B40.7 - Disseminerad blastomykos
b408	B40.8 - Andra specificerade former av blastomykos
b409	B40.9 - Blastomykos, ospecificerad
b41	B41 - Parakoccidioidomykos
b410	B41.0 - Pulmonell parakoccidioidomykos
b417	B41.7 - Disseminerad parakoccidioidomykos
b418	B41.8 - Andra specificerade former av parakoccidioidomykos
b419	B41.9 - Parakoccidioidomykos, ospecificerad
b42	B42 - Sporotrikos
b420	B42.0 - Pulmonell sporotrikos
b421	B42.1 - Lymfokutan sporotrikos
b427	B42.7 - Disseminerad sporotrikos
b428	B42.8 - Andra specificerade former av sporotrikos
b429	B42.9 - Sporotrikos, ospecificerad
b43	B43 - Kromomykos och feomykotisk abscess
b430	B43.0 - Kutan kromomykos
b431	B43.1 - Feomykotisk hjärnabscess
b432	B43.2 - Subkutan feomykotisk abscess och cysta
b438	B43.8 - Andra specificerade former av kromomykos
b439	B43.9 - Kromomykos, ospecificerad
b44	B44 - Aspergillos
b440	B44.0 - Invasiv lungaspergillos
b441	B44.1 - Annan lungaspergillos
b442	B44.2 - Tonsillaspergillos
b447	B44.7 - Disseminerad aspergillos
b448	B44.8 - Andra specificerade former av aspergillos
b449	B44.9 - Aspergillos, ospecificerad
b45	B45 - Kryptokockos
b450	B45.0 - Kryptokockos i lunga
b451	B45.1 - Cerebral kryptokockos
b452	B45.2 - Kutan kryptokockos
b453	B45.3 - Kryptokockos i benvävnad
b457	B45.7 - Disseminerad kryptokockos
b458	B45.8 - Andra specificerade former av kryptokockos
b459	B45.9 - Kryptokockos, ospecificerad
b46	B46 - Zygomykos
b460	B46.0 - Pulmonell mucormykos
b461	B46.1 - Rinocerebral mucormykos
b462	B46.2 - Gastrointestinal mucormykos
b463	B46.3 - Kutan mucormykos
b464	B46.4 - Disseminerad mucormykos
b465	B46.5 - Mucormykos, ospecificerad
b468	B46.8 - Andra specificerade zygomykoser
b469	B46.9 - Zygomykos, ospecificerad
b47	B47 - Mycetom
b470	B47.0 - Eumycetom
b471	B47.1 - Aktinomycetom
b479	B47.9 - Mycetom, ospecificerat
b48	B48 - Andra mykoser som ej klassificeras annorstädes
b480	B48.0 - Lobomykos
b481	B48.1 - Rinosporidios
b482	B48.2 - Allescheriasis
b483	B48.3 - Geotrikos
b484	B48.4 - Penicillos
b487	B48.7 - Opportunistisk mykos
b488	B48.8 - Andra specificerade mykoser
b49	B49 - Icke specificerad mykos
b499	B49.9 - Icke specificerad mykos
b50	B50 - Malaria orsakad av Plasmodium falciparum
b500	B50.0 - Malaria orsakad av Plasmodium falciparum med cerebrala komplikationer
b508	B50.8 - Annan svår eller komplicerad malaria orsakad av Plasmodium falciparum
b509	B50.9 - Malaria orsakad av Plasmodium falciparum utan komplikationer
b51	B51 - Malaria orsakad av Plasmodium vivax
b510	B51.0 - Malaria orsakad av Plasmodium vivax med mjältruptur
b518	B51.8 - Malaria orsakad av Plasmodium vivax med andra komplikationer
b519	B51.9 - Malaria orsakad av Plasmodium vivax utan komplikationer
b52	B52 - Malaria orsakad av Plasmodium malariae
b520	B52.0 - Malaria orsakad av Plasmodium malariae med nefropati
b528	B52.8 - Malaria orsakad av Plasmodium malariae med andra komplikationer
b529	B52.9 - Malaria orsakad av Plasmodium malariae utan komplikationer
b53	B53 - Annan parasitologiskt verifierad malaria
b530	B53.0 - Malaria orsakad av Plasmodium ovale
b531	B53.1 - Malaria orsakad av ap-plasmodier
b538	B53.8 - Annan parasitologiskt verifierad malaria som ej klassificeras annorstädes
b54	B54 - Malaria, ospecificerad
b549	B54.9 - Malaria, ospecificerad
b55	B55 - Leishmanios
b550	B55.0 - Visceral leishmanios
b551	B55.1 - Kutan leishmanios
b552	B55.2 - Mukokutan leishmanios
b559	B55.9 - Leishmanios, ospecificerad
b56	B56 - Afrikansk trypanosomiasis (sömnsjuka)
b560	B56.0 - Gambiense-trypanosomiasis
b561	B56.1 - Rhodesiense-trypanosomiasis
b569	B56.9 - Afrikansk trypanosomiasis, ospecificerad
b57	B57 - Chagas sjukdom
b570	B57.0 - Akut Chagas sjukdom med hjärtengagemang
b571	B57.1 - Akut Chagas sjukdom utan hjärtengagemang
b572	B57.2 - Chagas sjukdom med hjärtengagemang
b573	B57.3 - Chagas sjukdom med engagemang av mag-tarmkanalen
b574	B57.4 - Chagas sjukdom med engagemang av nervsystemet
b575	B57.5 - Chagas sjukdom med engagemang av andra organ
b58	B58 - Toxoplasmos
b580	B58.0 - Okulopati vid toxoplasmos
b581	B58.1 - Toxoplasmahepatit
b582	B58.2 - Meningoencefalit vid toxoplasmos
b583	B58.3 - Lungtoxoplasmos
b588	B58.8 - Toxoplasmos med engagemang av andra organ
b589	B58.9 - Toxoplasmos, ospecificerad
b59	B59 - Pneumocystos
b599	B59.9 - Pneumocystis carinii-infektion
b60	B60 - Andra protozosjukdomar som ej klassificeras annorstädes
b600	B60.0 - Babesios
b601	B60.1 - Acanthamoebiasis
b602	B60.2 - Naegleriasis
b608	B60.8 - Andra specificerade protozosjukdomar
b64	B64 - Icke specificerad protozosjukdom
b649	B64.9 - Icke specificerad protozosjukdom
b65	B65 - Schistosomiasis
b650	B65.0 - Infektion med Schistosoma haematobium
b651	B65.1 - Infektion med Schistosoma mansoni
b652	B65.2 - Infektion med Schistosoma japonicum
b653	B65.3 - Cercariadermatit
b658	B65.8 - Andra specificerade former av schistosomiasis
b659	B65.9 - Schistosomiasis, ospecificerad
b66	B66 - Andra trematodinfektioner (infektioner med flundror och andra sugmaskar)
b660	B66.0 - Opisthorchiasis
b661	B66.1 - Clonorchiasis
b662	B66.2 - Dicrocoeliasis
b663	B66.3 - Fascioliasis
b664	B66.4 - Paragonimiasis
b665	B66.5 - Fasciolopsiasis
b668	B66.8 - Andra specificerade trematodinfektioner
b669	B66.9 - Trematodinfektion, ospecificerad
b67	B67 - Blåsmasksjuka
b670	B67.0 - Echinococcus granulosus-infektion i levern
b671	B67.1 - Echinococcus granulosus-infektion i lunga
b672	B67.2 - Echinococcus granulosus-infektion i benvävnad
b673	B67.3 - Echinococcus granulosus-infektion med annan eller multipel lokalisation
b674	B67.4 - Icke specificerad Echinococcus granulosus-infektion
b675	B67.5 - Echinococcus multilocularis-infektion i levern
b676	B67.6 - Echinococcus multilocularis-infektion med annan eller multipel lokalisation
b677	B67.7 - Icke specificerad Echinococcus multilocularis-infektion
b678	B67.8 - Icke specificerad echinokockos i levern
b679	B67.9 - Annan och icke specificerad echinokockos
b68	B68 - Taeniainfektion
b680	B68.0 - Infektion med Taenia solium, intestinal form
b681	B68.1 - Infektion med Taenia saginata
